"시설ID","시설명","서비스분류코드","서비스분류명","자치구코드","자치구명","연령구분코드","연령구분","X좌표값","Y좌표값","우편번호","기본주소","상세주소","설립일","사용료무료여부","사용료","전용면적(평)","학기시작시간","학기종료시간","방학시작시간","방학종료시간","재량휴일시작시간","재량휴일종료시간","토요일운영여부","토요일운영시작시간","토요일운영종료시간","월사용료무료여부","월자기부담금","월사용료","일사용료무료여부","일자기부담금","일사용료","상시돌봄정원수","일시돌봄정원수","전용면적(m2)","자치구코드배열","등록일시","수정일시"
"GD210701","강동5호점 고덕2동 우리동네키움센터","1001","우리동네키움센터","11740","강동구","1003","초등학생","127.16246","37.56053","05220","서울특별시 강동구 동남로82길 97","3층 (고덕동)","","","","50","1300","1900","0900","1800","0900","1800","N","","","N","0","50000","N","0","2500","20","4","175","","2021-07-29 17:11:04.0",""
"JG210701","중구7호점 우리동네키움센터(중구형 초등돌봄 동화센터)","1001","우리동네키움센터","11140","중구","1003","초등학생","127.01497","37.56077","04586","서울특별시 중구 청구로6길 20","2층 (신당동)","2021-07-16","","","20","1300","2000","0800","2000","0800","2000","N","","","Y","0","","Y","0","","20","4","66","","2021-07-21 10:49:30.0","2021-07-23 10:53:21.0"
"YF210702","영등포10호점 우리동네키움센터(신길5동 아이랜드)","1001","우리동네키움센터","11560","영등포구","1003","초등학생","126.90895","37.50381","07397","서울특별시 영등포구 신길로29길 5","2층 (신길동)","2021-07-12","","","25","1100","2000","0900","1900","0900","1900","N","","","","0","","Y","0","","10","2","84","","2021-07-11 16:58:03.0",""
"YF210701","영등포9호점 우리동네키움센터(대림3동 아이랜드)","1001","우리동네키움센터","11560","영등포구","1003","초등학생","126.8952","37.50072","07377","서울특별시 영등포구 대림로41길 18","2층 (대림동)","2021-07-12","","","23","1100","2000","0900","1900","0900","1900","N","","","","0","","Y","0","","20","4","78","","2021-07-11 16:54:45.0","2021-07-22 12:47:08.0"
"GJ210601","광진9호점 우리동네키움센터","1001","우리동네키움센터","11215","광진구","1003","초등학생","127.0929","37.5479","04981","서울특별시 광진구 천호대로 716","별관 1호 (구의동 아차산 포레안)","2021-07-01","","","21.3","1300","1900","0900","1800","0900","1800","N","","","N","","50000","","0","","16","3","70.56","","2021-06-22 13:18:51.0","2021-07-05 16:06:54.0"
"MP210603","마포5호점 우리동네키움센터(아현동)","1001","우리동네키움센터","11440","마포구","1003","초등학생","126.9498","37.54519","04147","서울특별시 마포구 백범로31길 8","공덕sk리더스뷰 (공덕동 공덕SK리더스뷰)","2021-06-28","","","73","1000","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","30","6","243.67","","2021-06-15 18:26:35.0","2021-07-06 14:46:15.0"
"EP210601","은평9호점 우리동네키움센터","1001","우리동네키움센터","11380","은평구","1003","초등학생","126.90744","37.59634","03440","서울특별시 은평구 가좌로11길 7","2층 (신사동)","2021-07-19","","","24","1000","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","20","4","78.46","","2021-06-09 16:11:36.0","2021-07-19 14:16:23.0"
"MP210601","마포4호점 융합형 우리동네키움센터(공덕동)","1009","융합형키움센터","11440","마포구","1003","초등학생","126.95994","37.54879","04185","서울특별시 마포구 만리재로 96","2~3층 (공덕동 공덕헤리지움)","2021-06-28","","","86.83","1100","2000","0800","2000","0800","2000","N","","","N","","50000","N","","2500","32","6","286.56","","2021-06-03 17:22:50.0","2021-07-23 16:22:49.0"
"JN210401","종로5호점 우리동네키움센터","1001","우리동네키움센터","11110","종로구","1003","초등학생","126.96005","37.57583","03024","서울특별시 종로구 통일로18길 34","203동 주민공동시설 (무악동 인왕산2차아이파크아파트)","2021-05-31","","","37.1","0900","1900","0900","1900","0900","1900","N","","","N","","50000","N","","2500","20","4","122.69","","2021-04-27 15:51:02.0","2021-07-19 16:09:19.0"
"GR210401","구로16호점 우리동네키움센터(궁동)","1001","우리동네키움센터","11530","구로구","1003","초등학생","126.82963","37.49903","08249","서울특별시 구로구 오리로22길 5","1층 (궁동)","2021-05-01","","","21","1300","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","20","4","70.56","","2021-04-26 10:07:17.0","2021-05-31 10:44:55.0"
"GD210402","강동4호점 성내1동 우리동네키움센터","1001","우리동네키움센터","11740","강동구","1003","초등학생","127.12496","37.52627","05400","서울특별시 강동구 성내로6다길 55","109동 2층 201호 (성내동 서도휴빌)","2021-05-10","","","26","1300","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","17","3","88.95","","2021-04-16 11:13:00.0","2021-05-12 13:23:01.0"
"GR210311","구로15호점 융합형 우리동네키움센터(개봉동)","1009","융합형키움센터","11530","구로구","1003","초등학생","126.85782","37.4909","08332","서울특별시 구로구 개봉로18길 35","2~3층 (개봉동)","2021-04-01","","","91","1100","2000","0800","2000","0900","2000","Y","0900","1700","N","","50000","N","","2500","30","6","302","","2021-03-23 18:35:29.0","2021-07-13 11:27:11.0"
"GR210310","구로14호점 우리동네키움센터(구로3동)","1001","우리동네키움센터","11530","구로구","1003","초등학생","126.89085","37.48683","08375","서울특별시 구로구 디지털로31길 93","구로종합사회복지관 2층 (구로동)","2021-04-01","","","29","1000","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","25","5","96.48","","2021-03-23 16:31:10.0","2021-07-15 13:03:02.0"
"DJ210301","동작10호점 융합형 우리동네키움센터(대방동)","1009","융합형키움센터","11590","동작구","1003","초등학생","126.92518","37.4996","07055","서울특별시 동작구 상도로 42","2층 (대방동)","2021-05-03","","","69","1200","2000","0800","2000","0800","2000","Y","0800","1200","N","","50000","N","","2500","40","8","230.85","","2021-03-17 11:01:14.0","2021-05-13 11:09:23.0"
"GJ210301","광진8호점 우리동네키움센터","1001","우리동네키움센터","11215","광진구","1003","초등학생","127.08463","37.5428","05038","서울특별시 광진구 자양로 170","2층 (구의동)","2021-04-01","","","45.6","1300","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","26","5","151","","2021-03-15 14:21:57.0","2021-05-12 13:33:24.0"
"GS210302","강서4호점 우리동네키움센터(방화2동)","1001","우리동네키움센터","11500","강서구","1003","초등학생","126.80763856012994","37.571418936520786","07602","서울특별시 강서구 양천로10길 38","106동 105호 (방화동 신마곡벽산블루밍)","2021-03-10","","","80","0900","1900","0900","1900","0900","1900","N","","","N","","50000","N","","2500","25","5","267","","2021-03-08 11:57:36.0","2021-07-26 11:47:31.0"
"GS210301","강서3호점 우리동네키움센터","1001","우리동네키움센터","11500","강서구","1003","초등학생","126.84605","37.54109","07722","서울특별시 강서구 까치산로6길 49","1층 (화곡동)","2021-03-09","","","40","1200","1900","0900","1900","0900","1900","N","","","N","","50000","N","","2500","20","4","132","","2021-03-05 11:07:20.0","2021-06-17 10:44:42.0"
"GA210202","관악1호점 우리동네키움센터","1001","우리동네키움센터","11620","관악구","1003","초등학생","126.94171","37.47612","08829","서울특별시 관악구 참숯5길 38","1층 우리동네키움센터 관악1호점 (신림동)","2021-03-08","","","31","1100","2000","0900","1900","0900","1900","N","","","N","","50000","N","","2500","20","4","102.85","","2021-02-23 19:32:07.0","2021-06-24 11:02:01.0"
"GA210201","관악2호점 우리동네키움센터","1001","우리동네키움센터","11620","관악구","1003","초등학생","126.92871","37.47852","08843","서울특별시 관악구 문성로32길 18","3층 (신림동)","2021-03-08","","","28.15","1100","2000","0900","1900","0900","1900","N","","","N","","50000","N","","2500","20","4","93.085","","2021-02-23 15:48:06.0","2021-07-14 14:57:09.0"
"SB210203","성북9호점 우리동네키움센터(정릉4동)","1001","우리동네키움센터","11290","성북구","1003","초등학생","127.00981","37.6101","02717","서울특별시 성북구 보국문로16길 2","2층 (정릉동)","2021-03-02","","","30","1000","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","29","6","115","","2021-02-18 18:34:54.0","2021-06-02 12:59:12.0"
"SB210202","성북4호점 우리동네키움센터(장위2동)","1001","우리동네키움센터","11290","성북구","1003","초등학생","127.05296","37.61141","02770","서울특별시 성북구 장위로40다길 10","성북4호점 우리동네키움센터 (장위동)","2021-03-02","","","57","1000","1900","0900","1900","0900","1900","N","","","N","","50000","N","","2500","41","8","187","","2021-02-18 17:22:39.0","2021-05-12 14:28:40.0"
"EP210206","은평7호점 우리동네키움센터","1001","우리동네키움센터","11380","은평구","1003","초등학생","126.90834","37.61331","03426","서울특별시 은평구 서오릉로17길 19-1","1층 (구산동)","2021-03-08","","","39","1000","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","30","6","131.32","","2021-02-16 20:04:13.0","2021-05-12 14:49:35.0"
"EP210205","은평8호점 융합형 우리동네키움센터","1009","융합형키움센터","11380","은평구","1003","초등학생","126.92796","37.62303","03347","서울특별시 은평구 연서로40길 2","1층 2층 (불광동)","2021-03-15","","","71.23","1000","2000","0800","2000","0900","2000","Y","0900","1300","N","","50000","N","","2500","40","8","235.48","","2021-02-16 17:30:15.0","2021-05-07 14:41:27.0"
"EP210204","은평5호점 우리동네키움센터","1001","우리동네키움센터","11380","은평구","1003","초등학생","126.92943","37.6466","03304","서울특별시 은평구 진관4로 78-7","604동 1층 (진관동 은평뉴타운상림마을) ","2021-03-08","","","33","1000","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","20","4","106.31","","2021-02-16 15:32:03.0","2021-07-06 13:09:42.0"
"SB210201","성북8호점 우리동네키움센터(길음2동)","1001","우리동네키움센터","11290","성북구","1003","초등학생","127.0275887607966","37.61038638907391","02727","서울특별시 성북구 숭인로 50","114동 1층 주민공동시설 (길음동 래미안길음센터피스)","2021-03-02","","","32.2","1000","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","26","5","106.5","","2021-02-09 23:58:28.0","2021-05-12 14:28:01.0"
"SM210201","서대문4호점 우리동네키움센터(홍은2동)","1001","우리동네키움센터","11410","서대문구","1003","초등학생","126.93427855334897","37.58015566069941","03658","서울특별시 서대문구 모래내로 334","4층(서대문구청 4별관) (홍은동)","2021-02-22","","","42.6","1200","2000","0900","2000","0900","2000","N","","","N","","50000","N","","2500","25","5","140.63","","2021-02-09 17:45:41.0","2021-05-12 14:21:46.0"
"EP210203","은평6호점 우리동네키움센터","1001","우리동네키움센터","11380","은평구","1003","초등학생","126.92795561907216","37.60602807881045","03377","서울특별시 은평구 녹번로7길 36","은평6호점우리동네키움센터 (녹번동)","2021-03-08","","","23","1000","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","20","4","73","","2021-02-05 14:59:55.0","2021-05-12 14:48:07.0"
"DJ210206","동작9호점 우리동네키움센터(대방동)","1001","우리동네키움센터","11590","동작구","1003","초등학생","126.92809501052628","37.51101786557924","06941","서울특별시 동작구 알마타길 28","1층 (대방동)","2021-02-22","","","25","0900","1900","0900","1900","0900","1900","N","","","N","","50000","N","","2500","20","5","79.54","","2021-02-04 14:52:13.0","2021-05-13 16:11:40.0"
"DJ210205","동작8호점 우리동네키움센터(사당3동)","1001","우리동네키움센터","11590","동작구","1003","초등학생","126.97658818276186","37.483866483785704","07005","서울특별시 동작구 사당로 261","1층 (사당동)","2021-02-22","","","25","1000","1900","0900","1900","0900","1900","N","","","N","","50000","N","","2500","20","4","85.48","","2021-02-04 14:44:09.0","2021-07-26 11:56:13.0"
"DJ210204","동작7호점 우리동네키움센터(사당2동)","1001","우리동네키움센터","11590","동작구","1003","초등학생","126.98174724476764","37.48931831543759","06997","서울특별시 동작구 동작대로29가길 30","2층 (사당동)","2021-02-22","","","25","1000","1900","0900","1800","1000","1900","N","","","N","","50000","N","","2500","20","4","85.37","","2021-02-04 14:38:17.0","2021-06-07 15:55:22.0"
"DJ210203","동작6호점 우리동네키움센터(신상도)","1001","우리동네키움센터","11590","동작구","1003","초등학생","126.94158422440108","37.50015348330154","07047","서울특별시 동작구 양녕로29길 50","1~2층 (상도동)","2021-02-22","","","45","0900","1900","0900","1900","0900","1900","N","","","N","","50000","N","","2500","30","6","149.75","","2021-02-04 14:31:42.0","2021-05-12 14:09:35.0"
"DJ210202","동작5호점 우리동네키움센터(상도1동)","1001","우리동네키움센터","11590","동작구","1003","초등학생","126.95353700353828","37.50087888600973","06971","서울특별시 동작구 상도로53길 41","2층 (상도동)","2021-02-22","","","33","1300","2000","0900","1800","0900","1800","N","","","N","","50000","N","","2500","30","6","111.72","","2021-02-04 14:25:20.0","2021-05-12 14:09:28.0"
"DJ210201","동작4호점 우리동네키움센터(노량진1동)","1001","우리동네키움센터","11590","동작구","1003","초등학생","126.9404116748169","37.51033245334556","06924","서울특별시 동작구 장승배기로 142-1","2층 (노량진동)","2021-02-22","","","42","0900","1900","0900","1900","0900","1900","N","","","N","","50000","N","","2500","30","6","139.68","","2021-02-04 14:16:20.0","2021-05-12 17:13:38.0"
"SD210101","성동11호점 우리동네키움센터(신금호아이꿈누리터)","1001","우리동네키움센터","11200","성동구","1003","초등학생","127.02076","37.55448","04727","서울특별시 성동구 행당로 6","103호 (금호동1가)","2021-01-27","","","28","0900","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","20","4","90.75","","2021-01-27 13:48:16.0","2021-05-12 14:24:02.0"
"YC210101","양천3호점 우리동네키움센터","1001","우리동네키움센터","11470","양천구","1003","초등학생","126.8457","37.51793","08069","서울특별시 양천구 남부순환로83길 54","양천3호점 우리동네키움센터 (신월동)","2021-01-25","","","44.74","1300","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","25","5","147.65","","2021-01-25 11:54:20.0","2021-06-24 10:38:08.0"
"YS210101","용산7호점 우리동네키움센터","1001","우리동네키움센터","11170","용산구","1003","초등학생","126.99465","37.52047","04398","서울특별시 용산구 서빙고로 279","서빙고동주민센터 4층 (서빙고동)","2021-01-29","","","40","1200","2000","0800","2000","0800","2000","N","","","N","","50000","N","","2500","30","6","132","","2021-01-22 10:11:45.0","2021-06-15 08:59:44.0"
"KC210101","금천3호점 우리동네키움센터(시흥1동)","1001","우리동네키움센터","11545","금천구","1003","초등학생","126.90083","37.44666","08637","서울특별시 금천구 시흥대로39길 46","상가 3층 (시흥동)","2021-01-20","","","38","1000","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","25","5","125","","2021-01-20 11:31:36.0","2021-08-02 17:33:24.0"
"SP210101","송파15호점(융합형) 우리동네키움센터(잠실본동2호점 송파키움센터)","1009","융합형키움센터","11710","송파구","1003","초등학생","127.08268","37.50612","05569","서울특별시 송파구 백제고분로 139","B동 2층 (잠실동)","2021-01-18","","","63.5","1300","2000","0800","2000","0800","2000","Y","0900","1300","N","","50000","N","","2500","45","9","210","","2021-01-16 14:43:32.0","2021-03-26 19:26:12.0"
"SM210101","서대문3호점 우리동네키움센터 마을연계(홍제3동 우리동네키움센터)","1009","융합형키움센터","11410","서대문구","1003","초등학생","126.94693","37.59692","03619","서울특별시 서대문구 간호대로 35-12"," (홍제동)","2021-01-25","","","85","0800","2000","0800","2000","0800","2000","Y","0900","1400","N","","50000","N","","2500","40","8","283.18","","2021-01-10 14:08:14.0","2021-07-01 16:21:48.0"
"NW210101","노원24호점 우리동네키움센터(공릉비선 아이휴센터)","1001","우리동네키움센터","11350","노원구","1003","초등학생","127.08713616929711","37.62566686269063","01799","서울특별시 노원구 화랑로51길 78","504동 105호 (공릉동 비선아파트)","2021-02-15","","","23","1300","2000","0900","2000","0900","2000","N","","","N","","20000","N","","2500","23","4","77.44","","2021-01-07 16:38:31.0","2021-05-24 21:40:14.0"
"JG210101","중구6호점 우리동네키움센터(중구형 초등돌봄 다산센터)","1001","우리동네키움센터","11140","중구","1003","초등학생","127.00954","37.55436","04598","서울특별시 중구 동호로11길 22","신당종합복지관 5층 (신당동)","2021-01-04","","","23","1300","2000","0800","2000","0800","2000","N","","","Y","0","","","0","","20","4","78","","2021-01-04 14:00:16.0","2021-06-01 17:00:15.0"
"YF210102","영등포8호점 우리동네키움센터(신길1동 아이랜드)","1001","우리동네키움센터","11560","영등포구","1003","초등학생","126.9156","37.51009","07348","서울특별시 영등포구 도신로54길 15-12","1층 (신길동)","2021-01-11","","","23","1100","2000","0900","1900","0900","1900","N","","","","0","","Y","0","","20","4","77","","2021-01-02 15:06:34.0","2021-05-12 14:42:12.0"
"YF210101","영등포7호점 우리동네키움센터(당산2동 아이랜드)","1001","우리동네키움센터","11560","영등포구","1003","초등학생","126.90026","37.52864","07220","서울특별시 영등포구 국회대로37길 19","중앙빌딩 3층 (당산동4가)","2021-01-11","","","35","0800","1900","0800","1900","0900","1900","N","","","","0","","Y","0","","25","5","115","","2021-01-02 15:00:55.0","2021-05-12 14:42:04.0"
"YC201201","양천2호점 우리동네키움센터(융합형)","1009","융합형키움센터","11470","양천구","1003","초등학생","126.8703","37.54324","07974","서울특별시 양천구 목동중앙본로 86","2층 (목동)","2021-01-11","","","72","1300","2000","0800","2000","0800","2000","Y","0900","1300","N","","50000","N","","2500","35","7","239","","2020-12-29 16:14:47.0","2021-06-23 16:26:41.0"
"JN201203","종로3호점 해아전 우리동네키움센터(혜화동)","1001","우리동네키움센터","11110","종로구","1003","초등학생","127.00065","37.586","03075","서울특별시 종로구 혜화로 3","1층~3층 (혜화동)","2021-01-20","","","50.5","0900","1800","0900","1800","0900","1800","N","","","N","","50000","N","","2500","20","4","167","","2020-12-24 18:25:48.0","2021-08-02 14:34:48.0"
"JR201201","중랑2호점 우리동네키움센터(중랑아동돌봄센터)","1001","우리동네키움센터","11260","중랑구","1003","초등학생","127.08423","37.61948","02021","서울특별시 중랑구 신내로25가길 2","3층 303호 (묵동)","2021-02-01","","","26","1300","1900","0900","1900","0900","1900","N","","","N","","50000","N","","2500","26","5","87.36","","2020-12-24 10:24:42.0","2021-06-15 14:21:23.0"
"GD201202","강동3호점 강일동 우리동네키움센터(융합형)","1009","융합형키움센터","11740","강동구","1003","초등학생","127.17408","37.56464","05211","서울특별시 강동구 아리수로 421","2층 (강일동)","2020-12-28","","","88","1300","2000","0800","2000","0800","2000","Y","0900","1300","N","","50000","N","","2500","35","7","290.9","","2020-12-23 12:30:50.0","2021-07-26 16:39:41.0"
"GD201201","강동2호점 명일2동 우리동네키움센터","1001","우리동네키움센터","11740","강동구","1003","초등학생","127.15465244125722","37.54875135643027","05271","서울특별시 강동구 동남로67길 21","2층 (명일동)","2020-12-28","","","21","1000","1900","0900","1800","0900","1800","N","","","N","","40000","N","","2000","17","3","83.6","","2020-12-23 12:03:35.0","2021-05-12 13:22:42.0"
"YS201201","용산8호점 우리동네키움센터","1001","우리동네키움센터","11170","용산구","1003","초등학생","126.98858","37.53605","04345","서울특별시 용산구 녹사평대로40나길 37","지하1층 (이태원동)","2020-12-28","","","24","1200","2000","0800","2000","0800","2000","N","","","N","","50000","","0","","20","4","78.79","","2020-12-18 14:48:23.0","2021-05-12 14:46:03.0"
"SB201201","성북2호점 우리동네키움센터 융합형(석관동)","1009","융합형키움센터","11290","성북구","1003","초등학생","127.0546434337544","37.608960471399406","02790","서울특별시 성북구 화랑로 214","래미안석관 내 키움센터 (석관동 래미안석관) / 구. 석관동 청소년공부방","2020-12-21","","","81.4","1300","2000","0900","2000","0900","2000","Y","0800","1200","N","","50000","N","","2500","35","7","269","","2020-12-17 14:51:49.0","2021-06-24 16:05:52.0"
"DM201201","동대문3호점 우리동네키움센터","1001","우리동네키움센터","11230","동대문구","1003","초등학생","127.06081","37.5805","02508","서울특별시 동대문구 전농로16길 51","108동 주민공동시설 1층 (전농동 래미안아름숲)","2020-12-21","","","77.91","0900","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","20","4","257.13","","2020-12-14 17:05:44.0","2021-07-15 15:16:49.0"
"KC201201","금천1호점 우리동네키움센터(독산1동)","1001","우리동네키움센터","11545","금천구","1003","초등학생","126.89474","37.45858","08608","서울특별시 금천구 벚꽃로 30","2차 상가 314호 (독산동 금천 롯데캐슬 골드파크 2차)","2020-12-01","","","24","1000","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","20","4","79.56","","2020-12-14 14:02:12.0","2021-05-12 13:58:13.0"
"SP201207","송파14호점 우리동네키움센터(장지동 송파키움센터)","1001","우리동네키움센터","11710","송파구","1003","초등학생","127.12672","37.48198","05810","서울특별시 송파구 새말로8길 9","2층 201호","2020-12-07","","","30","0900","2000","0700","2000","0800","2000","N","","","N","","50000","N","","2500","30","6","99","","2020-12-08 14:36:43.0","2021-07-22 15:42:40.0"
"SP201206","송파13호점 우리동네키움센터(송파2동 송파키움센터)","1001","우리동네키움센터","11710","송파구","1003","초등학생","127.11558","37.50196","05674","서울특별시 송파구 송이로10길 12","2층 (송파동)","2020-12-15","","","24.8","0900","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","20","4","82","","2020-12-08 14:27:19.0","2021-05-12 14:35:01.0"
"SP201205","송파12호점 우리동네키움센터(방이1동 송파키움센터)","1001","우리동네키움센터","11710","송파구","1003","초등학생","127.11952","37.51195","05635","서울특별시 송파구 가락로 270","2층 (방이동 우정팰리스)","2020-12-01","","","33.9","0900","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","30","6","112","","2020-12-08 14:19:47.0","2021-05-12 14:34:52.0"
"SP201204","송파11호점(융합형) 우리동네키움센터(오금동 송파키움센터)","1009","융합형키움센터","11710","송파구","1003","초등학생","127.14152","37.50043","05738","서울특별시 송파구 동남로28길 40","구립청소년미래센터 3층 (오금동)","2020-12-07","","","63.5","1100","2000","0800","2000","1300","2000","Y","0900","1300","N","","50000","N","","2500","45","9","210","","2020-12-08 14:07:06.0","2021-05-18 16:48:39.0"
"SP201203","송파10호점 우리동네키움센터(가락2동 송파키움센터)","1001","우리동네키움센터","11710","송파구","1003","초등학생","127.12721","37.49834","05822","서울특별시 송파구 중대로20길 14","2층 (가락동)","2020-12-15","","","34.8","1300","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","30","6","115","","2020-12-08 13:52:44.0","2021-05-27 10:25:25.0"
